id_primkey,Shed_num,Staff,DATEC,Weeknum,Task,First_collect,Time_collect_start,Vis_check,clean_eggs,dirty_eggs,Seconds_eggs,jumbos_eggs,cracked_eggs,Total_eggs,Stack_weight1,Stack_weight2,Stack_weight3,Stack_weight4,Egg_Weight,Time_collect_fin,Flock_total,Flock_age,Yield,Industry_Average,Last_weeks_Average,tss,tsp
116,Shed 5,Kylie ,23/12/2019,51,,,12:50:00,Visual Check ok,1678,136,14,4,27,0,11.9,11.9,0,0,0,13:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
117,Shed 6,Kylie ,23/12/2019,51,,,11:44:00,Visual Check ok,2100,38,6,12,44,0,11.4,11.4,0,0,0,12:15:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
118,Shed 7,Megan ,23/12/2019,51,,,11:00:00,Visual Check ok,3600,240,164,1,43,0,12.1,12.2,0,0,0,12:07:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
119,Shed 8,Kylie ,23/12/2019,51,,,10:26:00,Visual Check ok,2115,10,10,30,17,0,10.5,10.9,0,0,0,10:52:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
120,Shed 9,Kylie ,23/12/2019,51,,,11:11:00,Visual Check ok,615,12,5,0,14,0,7.9,7.8,0,0,0,11:22:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
121,Shed 1,Oscar,24/12/2019,51,,,7:23:52,Visual Check ok,551,90,10,0,18,0,11.9,12,0,0,0,8:00:49,0,0,0,0,0,8/07/2021 15:58,15:58:04
123,Shed 4,Clo,24/12/2019,51,,,11:00:00,Visual Check ok,1404,73,8,1,11,0,12,12,0,0,0,11:33:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
124,Shed 5,Megan ,24/12/2019,51,,,11:35:00,Visual Check ok,1469,104,23,1,32,0,12.2,12.3,0,0,0,11:36:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
125,Shed 6,Clo,24/12/2019,51,,,10:40:00,Visual Check ok,1440,30,12,6,24,0,11.3,11.3,0,0,0,11:08:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
126,Shed 7,Clo,24/12/2019,51,,,9:45:00,Visual Check ok,2626,68,38,7,18,0,12.1,12.1,0,0,0,10:31:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
127,Shed 8,Megan ,24/12/2019,51,,,9:02:00,Visual Check ok,1920,24,18,31,27,0,11.7,11.8,0,0,0,10:05:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
128,Shed 9,Megan,24/12/2019,51,,,9:49:00,Visual Check ok,540,6,4,0,13,0,0,0,0,0,0,9:50:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
131,Shed 4,Josh ,25/12/2019,51,,,9:51:00,Visual Check ok,1260,70,8,0,20,0,0,0,0,0,0,10:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
132,Shed 5,Tamsyn,25/12/2019,51,,,11:05:00,Visual Check ok,1560,60,5,2,30,0,12,11.9,0,0,0,11:06:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
133,Shed 6,Josh ,25/12/2019,51,,,10:31:00,Visual Check ok,1440,32,4,4,20,0,0,0,0,0,0,11:03:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
134,Shed 7,Oscar ,25/12/2019,51,,,10:56:00,Visual Check ok,3420,180,20,5,15,0,12,12,0,0,0,11:58:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
136,Shed 9,Tamsyn ,25/12/2019,51,,,10:23:00,Visual Check ok,1470,50,30,5,5,0,1,1,0,0,0,10:25:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
137,Shed 1,Simon ,26/12/2019,51,,,8:38:23,Visual Check ok,961,145,16,0,36,0,0,0,0,0,0,9:17:39,0,0,0,0,0,8/07/2021 15:58,15:58:04
138,Shed 2,Simon ,26/12/2019,51,,,9:45:16,Visual Check ok,1781,194,6,3,18,0,0,0,0,0,0,10:32:27,0,0,0,0,0,8/07/2021 15:58,15:58:04
139,Shed 4,Mitch,26/12/2019,51,,,10:25:22,Visual Check ok,1530,128,10,1,14,0,12,12,0,0,0,10:56:22,0,0,0,0,0,8/07/2021 15:58,15:58:04
140,Shed 5,Mitch,26/12/2019,51,,,11:24:38,Visual Check ok,1650,191,5,0,12,0,11.9,12,0,0,0,11:47:28,0,0,0,0,0,8/07/2021 15:58,15:58:04
141,Shed 6,Mitch,26/12/2019,51,,,12:38:50,Visual Check ok,1620,32,6,3,38,0,11.5,11.3,0,0,0,12:40:33,0,0,0,0,0,8/07/2021 15:58,15:58:04
142,Shed 7,Mitch,26/12/2019,51,,,9:15:16,Visual Check ok,2400,125,43,0,11,0,12.1,12.1,0,0,0,10:03:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
143,Shed 8,Simon ,26/12/2019,51,,,10:40:17,Visual Check ok,2299,14,15,16,11,0,0,0,0,0,0,11:26:54,0,0,0,0,0,8/07/2021 15:58,15:58:04
144,Shed 9,Simon ,26/12/2019,51,,,12:15:22,Visual Check ok,1239,132,11,2,12,0,0,0,0,0,0,12:57:40,0,0,0,0,0,8/07/2021 15:58,15:58:04
146,Shed 2,Megan ,27/12/2019,51,,,21:01:00,Visual Check ok,1020,120,4,0,16,0,12.3,12.3,0,0,0,9:43:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
147,Shed 4,Josh ,27/12/2019,51,,,9:40:00,Visual Check ok,1300,120,0,0,25,0,0,0,0,0,0,10:17:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
148,Shed 5,Josh ,27/12/2019,51,,,10:30:00,Visual Check ok,1440,100,0,2,20,0,0,0,0,0,0,10:56:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
149,Shed 6,Josh ,27/12/2019,51,,,11:14:00,Visual Check ok,1290,93,0,3,20,0,0,0,0,0,0,11:44:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
150,Shed 7,Megan,27/12/2019,51,,,10:30:00,Visual Check ok,3240,68,115,14,66,0,12.3,12.3,0,0,0,11:41:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
155,Shed 4,Jemma,28/12/2019,51,,,14:03:00,Visual Check ok,1440,40,2,5,10,0,12,12.1,0,0,0,14:03:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
156,Shed 5,Jess,28/12/2019,51,,,14:11:00,Visual Check ok,1620,90,5,10,10,0,12,12,0,0,0,14:10:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
157,Shed 6,Jess,28/12/2019,51,,,14:16:00,Visual Check ok,1260,10,10,10,10,0,12,12,0,0,0,14:16:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
